id,sus,phone
00000000-0000-0000-0000-000000000000,0,7689220603
00000000-0000-0000-0000-000000000001,0,2823628933
00000000-0000-0000-0000-000000000002,0,6457852376
00000000-0000-0000-0000-000000000003,0,3274951647
00000000-0000-0000-0000-000000000004,0,8994777560
00000000-0000-0000-0000-000000000005,0,3108291191
00000000-0000-0000-0000-000000000006,0,3624884617
00000000-0000-0000-0000-000000000007,0,5483868683
00000000-0000-0000-0000-000000000008,0,4615039990
00000000-0000-0000-0000-000000000009,0,6435228785
00000000-0000-0000-0000-00000000000a,0,4084092566
00000000-0000-0000-0000-00000000000b,0,9494162978
00000000-0000-0000-0000-00000000000c,0,9769126589
00000000-0000-0000-0000-00000000000d,0,4434275501
00000000-0000-0000-0000-00000000000e,0,2396844798
00000000-0000-0000-0000-00000000000f,0,9092154355
00000000-0000-0000-0000-000000000010,0,6608234781
00000000-0000-0000-0000-000000000011,0,6449282180
00000000-0000-0000-0000-000000000012,0,6294174584
00000000-0000-0000-0000-000000000013,0,2088464796
00000000-0000-0000-0000-000000000014,0,3606422864
00000000-0000-0000-0000-000000000015,0,9563081129
00000000-0000-0000-0000-000000000016,0,9705163734
00000000-0000-0000-0000-000000000017,0,2676325822
00000000-0000-0000-0000-000000000018,0,8158285575
00000000-0000-0000-0000-000000000019,0,2536039865
00000000-0000-0000-0000-00000000001a,0,5607323493
00000000-0000-0000-0000-00000000001b,0,9267898623
00000000-0000-0000-0000-00000000001c,0,6474460691
00000000-0000-0000-0000-00000000001d,0,9579602082
00000000-0000-0000-0000-00000000001e,0,6712825317
00000000-0000-0000-0000-00000000001f,0,5709704835
00000000-0000-0000-0000-000000000020,0,7308924568
00000000-0000-0000-0000-000000000021,0,2428024743
00000000-0000-0000-0000-000000000022,0,3468786158
00000000-0000-0000-0000-000000000023,0,8017334763
00000000-0000-0000-0000-000000000024,0,2578664822
00000000-0000-0000-0000-000000000025,0,9662756995
00000000-0000-0000-0000-000000000026,0,7569959014
00000000-0000-0000-0000-000000000027,0,3568945529
00000000-0000-0000-0000-000000000028,0,4864856250
00000000-0000-0000-0000-000000000029,0,8337305699
00000000-0000-0000-0000-00000000002a,0,9132726877
