id,last4,zip,sus
00000000-0000-0000-0000-000000000000,7565,28134,0
00000000-0000-0000-0000-000000000001,1715,90970,0
00000000-0000-0000-0000-000000000002,3452,36088,0
00000000-0000-0000-0000-000000000003,3988,22959,0
00000000-0000-0000-0000-000000000004,2207,65083,0
00000000-0000-0000-0000-000000000005,5109,34245,0
00000000-0000-0000-0000-000000000006,4160,52018,0
00000000-0000-0000-0000-000000000007,4823,83763,0
00000000-0000-0000-0000-000000000008,1432,53747,0
00000000-0000-0000-0000-000000000009,8199,73339,0
00000000-0000-0000-0000-00000000000a,4767,50588,0
00000000-0000-0000-0000-00000000000b,6311,23083,0
00000000-0000-0000-0000-00000000000c,2595,99296,0
00000000-0000-0000-0000-00000000000d,9619,13455,0
00000000-0000-0000-0000-00000000000e,7609,43178,0
00000000-0000-0000-0000-00000000000f,0993,82520,0
00000000-0000-0000-0000-000000000010,5823,71854,1
00000000-0000-0000-0000-000000000011,4457,77204,0
00000000-0000-0000-0000-000000000012,4019,92609,0
00000000-0000-0000-0000-000000000013,4141,75013,0
00000000-0000-0000-0000-000000000014,7949,58573,0
00000000-0000-0000-0000-000000000015,4809,58456,0
00000000-0000-0000-0000-000000000016,1384,79873,0
00000000-0000-0000-0000-000000000017,7562,42842,0
00000000-0000-0000-0000-000000000018,2007,32737,0
00000000-0000-0000-0000-000000000019,6356,96868,0
00000000-0000-0000-0000-00000000001a,5312,83684,0
00000000-0000-0000-0000-00000000001b,4705,89831,0
00000000-0000-0000-0000-00000000001c,6537,87983,0
00000000-0000-0000-0000-00000000001d,9329,25899,0
00000000-0000-0000-0000-00000000001e,6558,13891,0
00000000-0000-0000-0000-00000000001f,5343,43254,0
00000000-0000-0000-0000-000000000020,4054,25102,0
00000000-0000-0000-0000-000000000021,6596,58698,0
00000000-0000-0000-0000-000000000022,7794,94073,0
00000000-0000-0000-0000-000000000023,4708,56320,0
00000000-0000-0000-0000-000000000024,0936,47768,0
00000000-0000-0000-0000-000000000025,5423,58065,0
00000000-0000-0000-0000-000000000026,6366,63432,0
00000000-0000-0000-0000-000000000027,9726,47155,0
00000000-0000-0000-0000-000000000028,5435,27969,0
00000000-0000-0000-0000-000000000029,4455,27412,0
00000000-0000-0000-0000-00000000002a,8040,57642,0
00000000-0000-0000-0000-00000000002b,9240,29975,0
00000000-0000-0000-0000-00000000002c,2747,06185,0
00000000-0000-0000-0000-00000000002d,8537,28906,0
00000000-0000-0000-0000-00000000002e,6860,02079,0
00000000-0000-0000-0000-00000000002f,7604,04799,0
00000000-0000-0000-0000-000000000030,7066,30732,0
00000000-0000-0000-0000-000000000031,4552,37311,0
00000000-0000-0000-0000-000000000032,7096,92631,0
00000000-0000-0000-0000-000000000033,0655,89727,0
00000000-0000-0000-0000-000000000034,9448,31519,0
00000000-0000-0000-0000-000000000035,5175,75989,0
00000000-0000-0000-0000-000000000036,3624,70624,0
00000000-0000-0000-0000-000000000037,7761,25482,0
00000000-0000-0000-0000-000000000038,4566,99793,0
00000000-0000-0000-0000-000000000039,0633,50081,0
00000000-0000-0000-0000-00000000003a,2502,17977,0
00000000-0000-0000-0000-00000000003b,0239,24593,0
00000000-0000-0000-0000-00000000003c,0173,91559,0
00000000-0000-0000-0000-00000000003d,6067,96412,0
00000000-0000-0000-0000-00000000003e,5327,49574,0
00000000-0000-0000-0000-00000000003f,5608,50865,0
00000000-0000-0000-0000-000000000040,1786,33766,0
00000000-0000-0000-0000-000000000041,7659,98409,0
00000000-0000-0000-0000-000000000042,9251,10495,0
00000000-0000-0000-0000-000000000043,6987,84499,0
00000000-0000-0000-0000-000000000044,6969,32512,0
00000000-0000-0000-0000-000000000045,2996,76465,0
00000000-0000-0000-0000-000000000046,0446,05747,0
00000000-0000-0000-0000-000000000047,7016,32942,0
00000000-0000-0000-0000-000000000048,2632,78115,0
00000000-0000-0000-0000-000000000049,4608,35069,0
00000000-0000-0000-0000-00000000004a,1914,81547,0
00000000-0000-0000-0000-00000000004b,0060,37967,0
00000000-0000-0000-0000-00000000004c,6821,04947,1
00000000-0000-0000-0000-00000000004d,1789,42035,0
00000000-0000-0000-0000-00000000004e,0860,90642,0
00000000-0000-0000-0000-00000000004f,2342,44511,0
00000000-0000-0000-0000-000000000050,1060,20791,0
00000000-0000-0000-0000-000000000051,7553,27497,0
00000000-0000-0000-0000-000000000052,9313,96689,0
00000000-0000-0000-0000-000000000053,7339,78053,0
00000000-0000-0000-0000-000000000054,5172,24492,0
00000000-0000-0000-0000-000000000055,0030,68812,0
00000000-0000-0000-0000-000000000056,3920,59643,0
00000000-0000-0000-0000-000000000057,0422,27829,0
00000000-0000-0000-0000-000000000058,1722,52438,0
00000000-0000-0000-0000-000000000059,7345,11089,0
00000000-0000-0000-0000-00000000005a,5725,52108,0
00000000-0000-0000-0000-00000000005b,1565,06268,0
00000000-0000-0000-0000-00000000005c,7636,08062,0
00000000-0000-0000-0000-00000000005d,2386,40256,0
00000000-0000-0000-0000-00000000005e,0347,41834,0
00000000-0000-0000-0000-00000000005f,3783,68403,0
00000000-0000-0000-0000-000000000060,2519,52925,0
00000000-0000-0000-0000-000000000061,8833,53248,0
00000000-0000-0000-0000-000000000062,4868,16806,0
00000000-0000-0000-0000-000000000063,2171,60317,0
00000000-0000-0000-0000-000000000064,1614,12022,0
00000000-0000-0000-0000-000000000065,3813,92741,0
00000000-0000-0000-0000-000000000066,1165,18614,0
00000000-0000-0000-0000-000000000067,3041,39311,0
00000000-0000-0000-0000-000000000068,1992,04312,0
00000000-0000-0000-0000-000000000069,6420,60789,0
00000000-0000-0000-0000-00000000006a,1025,49629,0
00000000-0000-0000-0000-00000000006b,8638,93621,0
00000000-0000-0000-0000-00000000006c,9745,07874,0
00000000-0000-0000-0000-00000000006d,4299,32212,0
00000000-0000-0000-0000-00000000006e,6161,91932,0
00000000-0000-0000-0000-00000000006f,3246,91821,0
00000000-0000-0000-0000-000000000070,3359,77367,0
00000000-0000-0000-0000-000000000071,2621,16248,0
00000000-0000-0000-0000-000000000072,2060,33388,0
00000000-0000-0000-0000-000000000073,8838,70385,0
00000000-0000-0000-0000-000000000074,7904,46035,0
00000000-0000-0000-0000-000000000075,3919,34221,0
00000000-0000-0000-0000-000000000076,9257,97793,0
00000000-0000-0000-0000-000000000077,3888,85322,0
00000000-0000-0000-0000-000000000078,4570,24099,0
00000000-0000-0000-0000-000000000079,6953,63527,0
00000000-0000-0000-0000-00000000007a,9962,13089,0
00000000-0000-0000-0000-00000000007b,3271,71305,0
00000000-0000-0000-0000-00000000007c,9641,42463,0
00000000-0000-0000-0000-00000000007d,3005,70594,0
00000000-0000-0000-0000-00000000007e,3492,21557,0
00000000-0000-0000-0000-00000000007f,3036,22549,0
00000000-0000-0000-0000-000000000080,5954,80965,0
00000000-0000-0000-0000-000000000081,1662,26907,0
00000000-0000-0000-0000-000000000082,2643,78758,0
00000000-0000-0000-0000-000000000083,5230,99469,0
00000000-0000-0000-0000-000000000084,2130,25570,0
00000000-0000-0000-0000-000000000085,3327,97510,0
00000000-0000-0000-0000-000000000086,1929,87412,0
00000000-0000-0000-0000-000000000087,7782,33407,0
00000000-0000-0000-0000-000000000088,6416,25883,0
00000000-0000-0000-0000-000000000089,3133,70875,0
00000000-0000-0000-0000-00000000008a,0810,67402,0
00000000-0000-0000-0000-00000000008b,2298,40662,0
00000000-0000-0000-0000-00000000008c,1511,17245,0
00000000-0000-0000-0000-00000000008d,9530,87515,0
00000000-0000-0000-0000-00000000008e,7385,99809,0
00000000-0000-0000-0000-00000000008f,9479,35903,0
00000000-0000-0000-0000-000000000090,6954,16238,0
00000000-0000-0000-0000-000000000091,4398,75611,0
00000000-0000-0000-0000-000000000092,8976,49129,0
00000000-0000-0000-0000-000000000093,8619,75347,0
00000000-0000-0000-0000-000000000094,7276,10348,0
00000000-0000-0000-0000-000000000095,4147,34471,0
00000000-0000-0000-0000-000000000096,7345,77688,0
00000000-0000-0000-0000-000000000097,4177,24448,0
00000000-0000-0000-0000-000000000098,4752,17276,0
00000000-0000-0000-0000-000000000099,7329,93731,0
00000000-0000-0000-0000-00000000009a,6752,74616,0
00000000-0000-0000-0000-00000000009b,4022,48374,0
00000000-0000-0000-0000-00000000009c,8235,05478,0
00000000-0000-0000-0000-00000000009d,6623,71364,0
00000000-0000-0000-0000-00000000009e,7428,96789,0
00000000-0000-0000-0000-00000000009f,4614,36392,1
00000000-0000-0000-0000-0000000000a0,3677,24047,0
00000000-0000-0000-0000-0000000000a1,3031,15276,0
00000000-0000-0000-0000-0000000000a2,6062,52862,0
00000000-0000-0000-0000-0000000000a3,2287,79492,0
00000000-0000-0000-0000-0000000000a4,9424,98494,0
00000000-0000-0000-0000-0000000000a5,9455,61829,0
00000000-0000-0000-0000-0000000000a6,1374,96714,0
00000000-0000-0000-0000-0000000000a7,8662,88442,0
00000000-0000-0000-0000-0000000000a8,2706,67278,0
00000000-0000-0000-0000-0000000000a9,0024,99441,0
00000000-0000-0000-0000-0000000000aa,3478,43721,0
00000000-0000-0000-0000-0000000000ab,9147,26662,0
00000000-0000-0000-0000-0000000000ac,8458,98600,0
00000000-0000-0000-0000-0000000000ad,7121,00757,0
00000000-0000-0000-0000-0000000000ae,6697,72168,0
00000000-0000-0000-0000-0000000000af,6524,75932,0
00000000-0000-0000-0000-0000000000b0,1752,44847,0
00000000-0000-0000-0000-0000000000b1,6159,14755,0
00000000-0000-0000-0000-0000000000b2,9577,42241,0
00000000-0000-0000-0000-0000000000b3,6980,65160,0
00000000-0000-0000-0000-0000000000b4,5473,17494,0
00000000-0000-0000-0000-0000000000b5,6256,72950,0
00000000-0000-0000-0000-0000000000b6,1118,68679,0
00000000-0000-0000-0000-0000000000b7,7761,82652,0
00000000-0000-0000-0000-0000000000b8,9070,55201,0
00000000-0000-0000-0000-0000000000b9,0335,80306,0
00000000-0000-0000-0000-0000000000ba,5483,08096,0
00000000-0000-0000-0000-0000000000bb,8638,59780,0
00000000-0000-0000-0000-0000000000bc,5691,13435,0
00000000-0000-0000-0000-0000000000bd,1328,58048,0
00000000-0000-0000-0000-0000000000be,6700,80306,0
00000000-0000-0000-0000-0000000000bf,9104,51187,0
00000000-0000-0000-0000-0000000000c0,6015,32022,0
00000000-0000-0000-0000-0000000000c1,8066,55438,0
00000000-0000-0000-0000-0000000000c2,8681,34726,0
00000000-0000-0000-0000-0000000000c3,1576,36276,0
00000000-0000-0000-0000-0000000000c4,8083,77969,0
00000000-0000-0000-0000-0000000000c5,8158,87395,0
00000000-0000-0000-0000-0000000000c6,6083,99257,0
00000000-0000-0000-0000-0000000000c7,4647,23202,0
00000000-0000-0000-0000-0000000000c8,0088,70315,0
